DEBUG | id=887 (columbine): 'hardiness.min' is empty — setting to null.
DEBUG | id=887 (columbine): 'hardiness.max' is empty — setting to null.
DEBUG | id=1188 (Malabar spinach): 'hardiness.min' is empty — setting to null.
DEBUG | id=1188 (Malabar spinach): 'hardiness.max' is empty — setting to null.
DEBUG | id=1189 (Ceylon spinach): 'hardiness.min' is empty — setting to null.
DEBUG | id=1189 (Ceylon spinach): 'hardiness.max' is empty — setting to null.
WARNING | id=1469 (rattlesnake plant): 'scientific_name' has 2 values ['Calathea lancifolia', 'Goeppertia insignis']; using first.
DEBUG | id=1598 (ornamental pepper): 'hardiness.min' is empty — setting to null.
DEBUG | id=1598 (ornamental pepper): 'hardiness.max' is empty — setting to null.
DEBUG | id=10001 (Five-Stamen Chickweed): 'hardiness.min' is empty — setting to null.
DEBUG | id=10001 (Five-Stamen Chickweed): 'hardiness.max' is empty — setting to null.
DEBUG | id=10002 (Newfoundland Chickweed): 'hardiness.min' is empty — setting to null.
DEBUG | id=10002 (Newfoundland Chickweed): 'hardiness.max' is empty — setting to null.
DEBUG | id=10003 (Large Field Chickweed): 'hardiness.min' is empty — setting to null.
DEBUG | id=10003 (Large Field Chickweed): 'hardiness.max' is empty — setting to null.
DEBUG | id=10004 (Céraiste Velouté): 'hardiness.min' is empty — setting to null.
DEBUG | id=10004 (Céraiste Velouté): 'hardiness.max' is empty — setting to null.
DEBUG | id=10005 (Sand Heath): 'hardiness.min' is empty — setting to null.
DEBUG | id=10005 (Sand Heath): 'hardiness.max' is empty — setting to null.
DEBUG | id=10006 (Horn-Seed Buttercup): 'hardiness.min' is empty — setting to null.
DEBUG | id=10006 (Horn-Seed Buttercup): 'hardiness.max' is empty — setting to null.
DEBUG | id=10008 (Prickly Hornwort): 'hardiness.min' is empty — setting to null.
DEBUG | id=10008 (Prickly Hornwort): 'hardiness.max' is empty — setting to null.
DEBUG | id=10009 (Southern Prickly Hornwort): 'hardiness.min' is empty — setting to null.
DEBUG | id=10009 (Southern Prickly Hornwort): 'hardiness.max' is empty — setting to null.
DEBUG | id=10010 (Eastern Redbud): 'hardiness.min' is empty — setting to null.
DEBUG | id=10010 (Eastern Redbud): 'hardiness.max' is empty — setting to null.
DEBUG | id=10011 (Hoary Pincushion): 'hardiness.min' is empty — setting to null.
DEBUG | id=10011 (Hoary Pincushion): 'hardiness.max' is empty — setting to null.
DEBUG | id=10012 (Alpine Pincushion): 'hardiness.min' is empty — setting to null.
